years_experience_capped,experience_level_encoded,company_size_encoded,remote_category,skills_count,benefits_score_normalized,job_desc_log,location_salary_premium,country_grouped_Austria,country_grouped_Canada,country_grouped_China,country_grouped_Denmark,country_grouped_France,country_grouped_Germany,country_grouped_India,country_grouped_Israel,country_grouped_Other,country_grouped_Singapore,country_grouped_Sweden,job_category_Data Analyst,job_category_Data Engineer,job_category_Data Scientist,job_category_ML Engineer,job_category_Management,job_category_Other
7,3,2,2,3,0.08000000000000007,7.049254841255837,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,1,1,2,3,0.9399999999999998,7.607381425639791,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4,2,3,0,3,0.7600000000000001,7.368339686311381,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,4,1,0,5,0.44000000000000006,7.565793282428515,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
19,4,2,2,5,0.6,7.350516171833998,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,2,1,0,3,0.8399999999999999,7.5883236773352225,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
17,4,2,3,5,0.1,7.615298339825815,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
3,2,1,3,3,0.08000000000000007,7.615298339825815,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
8,3,1,3,4,0.5,7.106606137727303,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
4,2,1,2,4,0.72,7.44716835960004,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
3,2,3,0,5,0.82,7.332369205929062,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,2,3,3,4,0.11999999999999993,7.189922170745808,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,1,3,3,5,0.31999999999999995,7.5352967024440884,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,2,2,0,3,0.5800000000000001,6.677083461247136,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,3,1,0,3,0.8,7.57353126274595,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,2,0,5,1.0,7.553810852008231,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,3,1,2,4,0.24000000000000005,7.44716835960004,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3,2,2,0,4,0.15999999999999998,7.696212639346407,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
4,2,2,2,5,0.3,6.684611727667927,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,3,0,3,0.41999999999999993,6.813444599510896,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
8,3,1,3,4,0.6199999999999999,6.2324480165505225,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
4,2,3,0,5,0.9,7.050989447068045,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
12,4,2,0,4,0.4,7.8050670442584895,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,2,3,4,0.9199999999999999,6.369900982828227,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
3,2,3,3,4,0.7399999999999999,6.3080984415095305,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
4,2,2,3,3,0.6399999999999999,6.816735880594968,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
7,3,1,3,4,0.68,6.635946555686647,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3,2,1,2,5,0.9800000000000001,7.639161171659173,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
9,3,1,2,3,0.5599999999999999,7.781973234434385,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,1,3,4,0.5800000000000001,7.483806687665835,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,1,2,3,3,0.040000000000000036,7.220373836723949,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
16,4,1,3,4,0.8399999999999999,7.776535028185241,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,2,2,3,0.5,7.208600337960199,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
6,3,3,0,3,0.25999999999999995,6.9167150203536085,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
12,4,2,0,3,0.4,7.710653323501202,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
17,4,3,2,5,0.68,6.461468176353717,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
19,4,3,3,5,0.5,6.717804695023691,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
10,4,2,0,4,0.34,7.737616282857904,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,2,1,2,5,0.4800000000000001,6.690842277418564,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
13,4,3,3,5,0.68,6.630683385642372,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,2,2,5,0.2800000000000001,6.520621127558696,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,2,3,0.6600000000000001,7.0967213784947605,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,1,1,3,4,0.4,7.325148957955575,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
11,4,2,2,5,0.38000000000000006,7.166265974133638,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0,1,3,2,4,0.36,6.7357800142423265,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,1,1,3,4,0.14000000000000004,7.044905117129371,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8,3,1,2,5,0.2,7.791522819150732,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
9,3,1,0,4,0.38000000000000006,7.80710329012598,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
3,2,3,0,3,0.9,7.170119543449628,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
19,4,1,2,5,0.78,7.352441100243583,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
8,3,2,2,5,0.72,6.395261598115449,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
6,3,1,0,3,0.21999999999999992,7.6255950721324535,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
4,2,2,0,5,0.24000000000000005,7.554858521040676,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,4,3,2,4,0.11999999999999993,7.037027614686276,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
8,3,3,0,5,0.7399999999999999,6.821107472256465,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
9,3,3,3,3,0.31999999999999995,6.363028103540465,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
16,4,3,3,5,0.9,7.43307534889858,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3,2,2,3,5,0.3,6.756932389247553,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,2,1,0,3,0.05999999999999996,6.553933404025811,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
13,4,1,3,4,0.25999999999999995,7.005789019253503,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,1,0,4,0.6199999999999999,7.679251425953058,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
16,4,3,2,4,0.8,6.3080984415095305,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2,2,2,3,5,0.3,7.740229524763182,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,1,3,5,0.41999999999999993,7.242797922793756,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2,2,2,0,3,0.7600000000000001,7.777373602657861,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18,4,1,3,4,0.31999999999999995,7.4067107301776405,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
18,4,1,2,4,0.5599999999999999,6.831953565565855,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9,3,2,3,3,0.6399999999999999,7.353081920515432,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6,3,3,2,5,0.82,7.064759027791802,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
7,3,1,2,4,0.5800000000000001,6.411818267709897,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,1,2,3,5,0.38000000000000006,7.545389749611823,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,3,3,5,0.4,7.60887062919126,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7,3,1,2,5,0.9800000000000001,6.455198563340122,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
17,4,2,2,4,0.5199999999999999,6.665683717782408,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
9,3,2,3,4,0.1,7.126087273299125,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
9,3,3,0,5,0.4,6.416732282512326,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,3,2,5,0.4,7.406103381237015,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,2,3,2,3,0.36,7.10085190894405,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
14,4,3,0,5,0.8,7.794823152179389,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,2,3,0,5,0.8600000000000001,7.556427969440253,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
11,4,1,0,5,0.68,7.2633296174768365,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
5,3,3,2,4,0.5199999999999999,7.3758821482150125,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,0,5,0.54,7.509883061154913,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
17,4,1,0,5,0.6199999999999999,7.291656209174461,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1,3,3,5,0.2,6.892641641172089,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5,3,2,0,3,0.5800000000000001,7.744569809354496,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0,1,3,0,3,0.8,6.29156913955832,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,2,2,3,0.040000000000000036,7.258412150595307,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13,4,2,0,4,0.15999999999999998,7.667158255319148,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
11,4,2,2,5,0.82,6.70196036600254,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2,2,1,0,3,0.5599999999999999,6.813444599510896,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
8,3,1,3,4,0.5199999999999999,7.396948602621014,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11,4,3,3,4,0.45999999999999996,7.098375638590786,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4,2,2,2,5,0.040000000000000036,6.976348070447749,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9,3,1,2,4,0.040000000000000036,7.074963197966044,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
4,2,1,3,4,0.68,6.2285110035911835,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,2,2,5,0.8,7.645397699428633,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,2,2,0,3,0.5800000000000001,6.489204931325317,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,0,3,0.25999999999999995,7.502738210754851,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
17,4,1,0,4,0.1,6.481577129276431,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,2,3,0,4,0.5199999999999999,7.59337419312129,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,4,2,3,3,0.14000000000000004,6.815639990074331,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
12,4,1,3,5,0.9800000000000001,7.493317248862145,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0,1,1,3,4,0.6199999999999999,6.939253946041508,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
7,3,1,0,3,0.44000000000000006,7.277247726631484,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3,2,2,0,4,0.45999999999999996,6.98100574072173,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,1,0,4,0.82,7.259819610363186,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11,4,1,3,3,0.1,7.737616282857904,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
4,2,2,2,4,0.8399999999999999,6.717804695023691,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,1,3,0,3,0.6600000000000001,7.429520842786462,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,2,2,0,3,0.9,7.707512194600341,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,3,1,2,4,0.4800000000000001,7.502186486602924,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2,2,3,0,5,0.54,6.910750787961936,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
8,3,3,3,3,0.9,7.416979621381154,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
12,4,2,3,5,0.9800000000000001,6.257667587882639,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
15,4,2,2,3,0.82,6.851184927493743,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
7,3,3,2,4,0.6399999999999999,7.014814351275545,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,1,0,3,0.78,6.582025138892826,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
7,3,1,0,4,0.14000000000000004,7.767687277186908,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
5,3,3,2,3,0.9199999999999999,6.361302477572996,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,3,3,5,0.9,7.793586803371584,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,2,2,3,4,0.31999999999999995,7.761744984658913,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,1,3,2,3,0.41999999999999993,7.818430272070656,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3,2,2,2,5,0.7,6.894670039433482,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
13,4,1,3,4,0.9199999999999999,6.530877627725885,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
19,4,1,3,5,0.54,6.727431724850855,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2,2,3,3,5,0.31999999999999995,7.336936913707618,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
19,4,2,3,3,0.040000000000000036,7.134890851565884,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
9,3,2,2,4,0.8600000000000001,7.29641326877392,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,1,3,3,3,0.4,6.756932389247553,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9,3,2,2,3,0.24000000000000005,7.73718007783463,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,2,2,2,5,0.9,7.741533589281828,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,2,3,2,4,0.6399999999999999,6.573680166960646,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
7,3,3,2,5,0.7,7.452402451223638,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,3,0,3,0.1,7.469654172932128,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3,2,2,2,4,0.6600000000000001,7.1631723908466425,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
12,4,1,2,3,0.7,7.808729306744399,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
7,3,1,0,4,0.5800000000000001,7.113142108707088,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1,1,1,3,4,0.18000000000000008,7.10085190894405,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14,4,3,0,3,0.4,7.302496423727326,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
11,4,2,3,3,0.9800000000000001,7.777373602657861,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2,2,3,3,4,0.9600000000000002,7.340186835320115,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,3,0,3,0.8800000000000001,6.513230110912307,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
15,4,2,3,3,0.2800000000000001,7.106606137727303,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3,2,1,0,5,0.5199999999999999,7.2399325913204695,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
13,4,1,3,4,0.15999999999999998,7.56734567601324,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
17,4,3,2,5,0.7,7.60339933974067,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
11,4,1,2,4,0.0,7.655390644826152,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,1,2,3,5,0.5800000000000001,6.9440872082295275,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
13,4,2,0,3,0.36,6.899723107284872,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
17,4,1,3,3,0.5199999999999999,7.126890808898808,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,1,3,3,5,0.1,7.726212650507529,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,3,2,2,4,0.25999999999999995,6.529418838262226,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
